,pc4_code,no2_009,no2_010,no2_011,no2_012,no2_013,no2_014,no2_015,no2_016,no2_017,no2_018,no2_019,no2_020,Total_NO2,Average_NO2
4,3571,49.14515,48.30563,45.68606,42.94993,40.34695,39.77293,40.8502,43.09903,47.26767,50.26583,49.55846,47.96892,545.21676,45.43473
189,3512,54.09817,53.14394,50.15982,46.98488,44.01332,43.38677,44.6194,47.03941,51.50489,54.74071,53.98396,52.13894,595.81421,49.65118416666667
190,3544,48.88727,47.68518,45.17454,42.52912,39.85641,38.91722,39.91909,42.10143,46.31153,49.81132,49.03464,47.55999,537.7877400000001,44.81564500000001
191,3552,51.86072,50.92689,48.12015,45.16412,42.33854,41.73958,42.88555,45.24089,49.60932,52.75399,51.9911,50.29305,572.9239,47.743658333333336
192,3721,38.97274,38.359,36.47229,34.58521,32.78375,32.18014,32.97546,34.80754,38.25142,40.87525,40.34821,39.20311,439.81411999999995,36.651176666666665
329,3545,41.66364,39.87799,38.07048,36.16836,33.88237,32.18768,32.85104,34.62522,38.44292,42.70801,41.90922,40.96045,453.34738,37.77894833333333
330,3572,49.91623,48.90386,46.26486,43.48748,40.79101,40.05059,41.1248,43.37432,47.60992,50.86399,50.12091,48.53206,551.0400299999999,45.92000249999999
331,3602,35.34311,34.26496,32.7734,31.29153,29.6429,28.4893,29.0831,30.6836,33.95721,37.20394,36.63208,35.79874,395.16387000000003,32.9303225
478,3513,62.26544,60.09534,56.41826,53.21184,50.65314,50.07887,52.097,54.80941,58.7386,61.01799,58.99256,55.40903,673.7874800000001,56.14895666666667
479,3522,51.74453,50.42778,47.72356,44.84842,41.9388,40.95516,42.02736,44.31794,48.73808,52.41573,51.57943,49.99302,566.70981,47.2258175
604,3527,52.65252,51.0695,48.35862,45.4491,42.41195,41.17603,42.23127,44.51599,49.03038,53.09194,52.19739,50.63315,572.81784,47.734820000000006
763,3524,48.09672,46.63749,44.25131,41.72385,39.04594,37.83356,38.76235,40.87103,45.07026,48.92145,48.10313,46.74088,526.05797,43.838164166666665
764,3534,50.14943,48.49754,45.99985,43.32955,40.45319,39.10326,40.06107,42.23252,46.60375,50.73302,49.84752,48.43829,545.4489900000001,45.454082500000005
765,3542,45.04988,43.47657,41.34468,39.07663,36.61957,35.14991,35.98152,37.90354,41.85252,45.89755,45.14026,43.91764,491.4102700000001,40.95085583333334
911,3436,44.76983,44.17549,41.83495,39.4366,37.21422,36.77494,37.75807,39.85062,43.68435,46.31528,45.71455,44.27515,501.80405,41.81700416666667
913,3525,50.33334,49.02003,46.4239,43.67052,40.86637,39.84809,40.87691,43.10397,47.42537,51.0921,50.2771,48.75827,551.69597,45.97466416666666
915,3992,43.88731,42.47791,40.38947,38.17349,35.85832,34.47697,35.31565,37.18859,40.99123,44.83707,44.15657,42.91666,480.6692399999999,40.05576999999999
1049,3521,61.24757,58.74597,55.23817,52.25616,49.67947,48.92352,50.828,53.5181,57.52093,60.06305,57.86834,54.46898,660.35826,55.029855
1050,3607,41.81574,41.68701,39.45253,37.20004,35.33044,35.21798,36.21178,38.21393,41.71701,43.73141,43.30156,41.83941,475.71884,39.64323666666667
1057,3981,56.85492,55.55142,52.1396,48.64414,46.34589,45.08813,46.97683,49.08858,52.37264,55.47222,54.71072,51.44152,614.68661,51.223884166666664
1058,3995,44.2216,44.33261,41.85526,39.35392,37.36033,37.56152,38.67126,40.82478,44.4668,46.14991,45.72569,44.08674,504.61042,42.050868333333334
1221,3403,28.75803,28.28823,27.15746,26.13766,25.12154,24.40438,24.90183,26.30189,29.02966,31.394,31.03267,30.35589,332.88324,27.74027
1224,3514,51.69344,50.74747,47.95494,45.01072,42.1989,41.57164,42.71372,45.05376,49.40176,52.57179,51.81637,50.12221,570.85672,47.57139333333333
1225,3564,44.08755,43.19729,40.98204,38.69854,36.45432,35.70402,36.61099,38.62772,42.46223,45.50071,44.85048,43.52759,490.70348,40.891956666666665
1525,3431,47.73168,47.06403,44.50983,41.85941,39.40727,38.95424,40.0226,42.22793,46.26034,49.02242,48.37708,46.80074,532.2375699999999,44.353130833333324
1526,3565,41.35659,40.00077,38.11142,36.15493,33.99704,32.71871,33.45233,35.27753,39.00345,42.67121,41.96353,40.90833,455.61583999999993,37.96798666666666
1635,3541,49.07631,47.13414,44.79063,42.26836,39.40022,37.73508,38.60535,40.68447,45.02909,49.5558,48.62715,47.35232,530.25892,44.18824333333333
1797,3455,33.98274,32.92245,31.5317,30.16504,28.62115,27.44983,28.00411,29.54624,32.72352,35.93853,35.38929,34.61785,380.89245,31.7410375
1799,3604,41.47934,40.67587,38.64156,36.57071,34.53873,33.81034,34.65009,36.56481,40.20963,43.11132,42.51255,41.29608,464.06102999999996,38.6717525
1800,3606,44.25333,43.88976,41.52803,39.11797,37.00174,36.74575,37.76502,39.85366,43.58554,45.91837,45.39117,43.89171,498.94204999999994,41.57850416666666
1898,3402,34.72666,33.5288,32.11172,30.6985,29.07265,27.76666,28.32433,29.87004,33.10443,36.52817,35.95226,35.1713,386.85551999999996,32.237959999999994
1900,3451,41.15052,40.46894,38.43018,36.36517,34.38719,33.77105,34.62297,36.54153,40.14413,42.87484,42.305,41.07053,462.13205000000005,38.51100416666667
1901,3515,51.51532,50.59406,47.81099,44.88287,42.0857,41.49057,42.62788,44.9698,49.3128,52.43798,51.68221,49.99786,569.40804,47.45067
1902,3582,51.87517,50.83516,48.05359,45.11696,42.26373,41.56178,42.68801,45.02871,49.41692,52.70769,51.92224,50.25445,571.72441,47.643700833333334
2012,3563,48.44118,47.54868,44.9968,42.33275,39.76809,39.12517,40.1699,42.37998,46.51054,49.57721,48.8679,47.32909,537.04729,44.75394083333333
2240,3437,48.165,47.14323,44.64423,42.028,39.45258,38.67327,39.68574,41.86315,45.99458,49.24025,48.50969,47.02,532.41972,44.36831
2242,3583,48.6464,47.39096,44.91236,42.29893,39.6301,38.63417,39.61788,41.78244,45.98677,49.55755,48.77209,47.32579,534.55544,44.54628666666667
2243,3608,52.72258,51.09578,48.01874,45.58539,43.89004,43.70689,45.53452,47.93623,51.13018,52.4569,50.60017,47.31078,579.9882,48.33235
2505,3453,40.58269,40.19426,38.12731,36.05619,34.19225,33.85013,34.73889,36.67583,40.19066,42.51263,42.01034,40.72051,459.85168999999996,38.320974166666666
2506,3511,54.10312,53.00998,50.06758,46.94206,43.91553,43.20784,44.39775,46.8249,51.3646,54.7492,53.92894,52.15927,594.67077,49.55589749999999
2507,3573,44.70604,43.3832,41.22641,38.9708,36.57471,35.41372,36.25963,38.23906,42.18747,45.82846,45.08202,43.85121,491.72273,40.97689416666667
2658,3543,46.17607,45.1451,42.80241,40.36197,37.93042,37.09201,38.03963,40.12719,44.1251,47.37201,46.66635,45.27822,511.11647999999997,42.593039999999995
2659,3731,41.95378,40.68878,38.73017,36.70219,34.52451,33.34594,34.1169,35.9799,39.72695,43.27615,42.58187,41.4681,463.09524000000005,38.59127
2803,3526,49.2809,47.82045,45.34198,42.70853,39.94557,38.75564,39.72367,41.88177,46.15599,50.02052,49.18991,47.76509,538.59002,44.88250166666666
2804,3554,49.80995,48.79527,46.16582,43.40037,40.70923,39.96906,41.03788,43.28492,47.51843,50.77101,50.02561,48.44607,549.93362,45.827801666666666
2956,3533,52.42083,50.75871,48.08741,45.21961,42.17442,40.86999,41.89847,44.16864,48.69439,52.85216,51.935,50.41466,569.49429,47.457857499999996
2957,3553,49.95292,48.66364,46.09143,43.36787,40.59664,39.59502,40.61547,42.83048,47.12439,50.75365,49.94704,48.44196,547.9805100000001,45.665042500000006
3095,3452,42.46366,42.23562,39.98382,37.71847,35.75511,35.62022,36.59803,38.64361,42.2612,44.3705,43.8743,42.44656,481.97110000000004,40.164258333333336
3096,3605,41.9166,41.87075,39.61318,37.35126,35.48151,35.48898,36.49055,38.52742,42.0562,43.92844,43.49143,42.02395,478.24026999999995,39.85335583333333
3297,3438,47.63381,46.35476,43.96037,41.43998,38.83978,37.79499,38.74218,40.8581,44.99749,48.59522,47.81866,46.42937,523.46471,43.622059166666666
3298,3439,42.51328,40.70236,38.83497,36.86245,34.50855,32.80833,33.49455,35.30174,39.1795,43.48606,42.67197,41.68681,462.05057,38.504214166666664
3408,3532,52.32563,50.81043,48.11058,45.22388,42.22129,41.06069,42.11311,44.40179,48.89798,52.85065,51.96369,50.40731,570.3870300000001,47.532252500000006
3409,3555,47.1816,45.19248,42.8636,40.71365,38.50185,37.19949,38.3017,40.34897,44.06695,47.52262,46.21802,44.37982,512.49075,42.7075625
3410,3581,49.94112,48.76814,46.16863,43.42522,40.68246,39.79786,40.8388,43.07207,47.34837,50.81441,50.02983,48.49411,549.38102,45.78175166666667
3413,3737,35.27258,34.25201,32.75178,31.26525,29.6359,28.53744,29.13969,30.74578,34.00521,37.17165,36.61232,35.76626,395.15587,32.929655833333335
3551,3531,52.82399,51.35034,48.60088,45.66036,42.6334,41.52077,42.59844,44.91275,49.43085,53.33319,52.45146,50.8549,576.17133,48.0142775
3552,3584,44.59842,43.40315,41.22311,38.95208,36.59585,35.55633,36.42308,38.41607,42.33458,45.79951,45.08141,43.81873,492.20232000000004,41.01686
3558,3993,40.52431,39.944,37.92886,35.89954,33.99241,33.4605,34.31139,36.21736,39.76078,42.3475,41.80654,40.57459,456.76778,38.06398166666667
3559,3994,39.05783,38.85823,36.86313,34.89017,33.18427,32.9911,33.86631,35.76434,39.14535,41.19609,40.75191,39.48511,446.05384000000004,37.171153333333336
3710,3523,52.50809,51.35691,48.55279,45.57929,42.65443,41.8528,42.98023,45.32941,49.77355,53.22665,52.41393,50.74229,576.97037,48.080864166666665
3711,3551,51.90655,50.58527,47.86454,44.9765,42.07088,41.0876,42.1748,44.4681,48.87774,52.54297,51.70056,50.08383,568.33934,47.36161166666667
3712,3585,76.82136,75.53569,70.39239,64.63373,61.34364,59.39373,62.30524,64.6972,68.19309,72.30521,72.04252,66.95174,814.6155399999999,67.88462833333332
3814,3454,43.15141,42.51785,40.31188,38.06138,35.94932,35.42779,36.35312,38.36636,42.09408,44.77223,44.18714,42.83752,484.03008,40.33584
3816,3528,48.99392,47.39154,44.97121,42.39277,39.61338,38.28346,39.21374,41.34134,45.62614,49.67997,48.8199,47.45427,533.78164,44.48180333333334
3817,3546,36.22285,34.57941,33.15845,31.70596,29.85432,28.16393,28.68078,30.23477,33.66035,37.69632,36.99898,36.28118,397.23730000000006,33.10310833333334
3818,3561,48.71558,47.91388,45.31846,42.61329,40.05072,39.50443,40.57472,42.81075,46.94509,49.88742,49.1927,47.61462,541.14166,45.09513833333333
3819,3611,38.48401,37.31604,35.60323,33.86325,31.96198,30.79824,31.47518,33.20163,36.70287,40.0926,39.46062,38.49612,427.45577000000003,35.62131416666667
3973,3562,48.23761,47.44085,44.88125,42.21702,39.69073,39.13739,40.19341,42.40897,46.51013,49.44277,48.75542,47.19979,536.11534,44.67627833333333
3974,3566,41.09869,39.84906,37.95374,36.0002,33.88694,32.70796,33.45283,35.28307,38.97494,42.49325,41.80984,40.73811,454.24863,37.8540525
